MARCA,REFERENCIA,PROCESADOR,RAM,PANTALLA,DISCODURO,DISCOSSOLIDOS,PRECIOS
Acer,Portátil Acer ConcetD 3 15.6 Pulgadas Intel Core i5 8GB 512GB,Intel Core i5,8GB,15.6 pulgadas,No aplica,512GB,$  4.199.000 
Asus,"Portátil asus zenbook ux325ja-eg172 13,3 fhd ci5 8",Intel Core i5,8GB,13 pulgadas,No aplica,256GB,$  2.999.888 
Asus,Portátil asus core i5  8gb 25gb ssd freedos,Intel Core i5,8GB,13.3 pulgadas,No aplica,256GB,$  2.849.900 
Apple,Portátil Apple MacBook Pro 13 pulgadas Intel Core i5 16GB 512GB,Intel Core i5,16GB,13 pulgadas,No aplica,512GB,$  9.109.900 
HP,All in one HP Pavilion 27 Pulgadas Intel Core i7 16GB 1TB 256GB,Intel Core i7,16GB,27 pulgadas,1TB,256GB,$  5.799.000 
HP,Portátil Hp 15-Dy2062la Intel Core I3 1125g4 4gb 2,Intel Core i3,4GB,15 pulgadas,No aplica,256GB,$  1.692.900 
Dell,"Portátil dell inspiron 3501 15.6""  core i3 4gb 1tb",Intel Core i3,4GB,15.6 pulgadas,1TB,No aplica,$  1.539.900 
HP,Portátil HP 15.6 Pulgadas AMD RYZEN R3 4GB 256GB,AMD RYZEN R3,4GB,15.6 pulgadas,No aplica,256GB,$  1.749.000 
Huawei,Portátil Huawei Matebook 13s 13.4 Pulgadas Intel Core i7 16GB 512GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  5.999.900 
HP,Portátil HP 14 Pulgadas Intel Core i3 8GB+16GB Optane 256GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  1.769.000 
Dell,Portatil dell inspiron 15 3505 ryzen 5,AMD RYZEN R5,8GB,15.6 pulgadas,No tiene dato.,No tiene dato.,$  2.419.888 
Apple,"MacBook Air 13 Pulgadas Chip M1 CPU 8 núcleos GPU 7 núcleos, 256 GB SSD",Chip M1,8GB,13 pulgadas,No aplica,256GB,$  4.999.900 
HP,Portátil 2 en 1 HP Envy 13.3 Pulgadas AMD RYZEN R5 8GB 256GB,AMD RYZEN R5,8GB,13.3 pulgadas,No aplica,256GB,$  3.999.000 
HP,Portatil hp 245 g7 amd 3020e 4gb 1tb linux,AMD,4GB,14 pulgadas,1TB,No aplica,$  1.053.390 
Lenovo,Portátil Lenovo Yoga slim 7 Ci7 16G 14 Pulgadas Intel Core i7 16GB 512GB,Intel Core i7,16GB,14 pulgadas,No aplica,512GB,$  4.899.900 
Lenovo,Lenovo v14 intel ci3 4gb 256gb 1005g1.,Intel Core i3,4GB,14 pulgadas,No aplica,256GB,$  1.499.888 
Lenovo,Portatil lenovo amd a9 ram8gb 256gbssd win10,AMD A9,8GB,14 pulgadas,No aplica,256GB,$  1.676.100 
Apple,MacBook Pro Chip M1 Pro 512GB SSD Gris espacial MKGP3E/A 14.2 Pulgadas,Chip M1 Pro,16GB,14.2 pulgadas,No aplica,512GB,$  10.906.900
Asus,Portátil Asus Zenbook Flip S13 OLED 13.3 Pulgadas Intel Core i5 16GB 512GB,Intel Core i5,16GB,13.3 pulgadas,No aplica,512GB,$  5.299.900 
Lenovo,Portátil lenovo 81ms000xlm 14 puLGadas 4gb 500gb h,AMD A6,4GB,14 pulgadas,500GB,No aplica,$  1.279.888 
Acer,Portátil Acer ConcetD 7 Ezel 15.6 Pulgadas Intel Core i7 16GB 1TB,Intel Core i7,16GB,15.6 pulgadas,No aplica,1TB,$  9.199.000 
Acer,Portatil acer nitro 5 an515-43-r0g3 r7,AMD RYZEN R7,8GB,15 pulgadas,No aplica,512GB,$  4.561.000 
HP,Portátil hp 1x5v7lt 14 puLGadas amd ryzen r3 4gb 1,AMD RYZEN R3,4GB,14 pulgadas,1TB,No aplica,$  1.499.000 
